台北信義威秀影城,1
台北京站威秀影城,2
板橋大遠百威秀影城,4
中和環球威秀影城,25
林口MITSUI OUTLET PARK威秀影城,5
桃園統領威秀影城,20
新竹大遠百威秀影城,7
新竹巨城威秀影城,9
頭份尚順威秀影城,10
台中大遠百威秀影城,11
台中TIGER CITY威秀影城,12
台南大遠百威秀影城,15
台南FOCUS 威秀影城,22
台南南紡威秀影城,16
高雄大遠百威秀影城,18
花蓮新天堂樂園威秀影城,21
